article_number;name;law_type
264;Нарушение правил дорожного движения и эксплуатации транспортных средств;УК РФ
264.1;Нарушение правил дорожного движения лицом, подвергнутым административному наказанию;УК РФ
265;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
266;Недоброкачественный ремонт транспортных средств и выпуск их в эксплуатацию с техническими неисправностями;УК РФ
267;Приведение в негодность транспортных средств или путей сообщения;УК РФ
267.1;Действия, угрожающие безопасной эксплуатации транспортных средств;УК РФ
268;Нарушение правил, обеспечивающих безопасную работу транспорта;УК РФ
269;Утратила силу. - Федеральный закон от 23.04.2018 N 114-ФЗ.;УК РФ
270;Неоказание капитаном судна помощи терпящим бедствие;УК РФ
271;Нарушение правил международных полетов;УК РФ
271.1;Нарушение правил использования воздушного пространства Российской Федерации;УК РФ
272;Неправомерный доступ к компьютерной информации;УК РФ
273;Создание, использование и распространение вредоносных компьютерных;УК РФ
274;Нарушение правил эксплуатации средств хранения, обработки или передачи компьютерной информации и информационно-телекоммуникационных сетей;УК РФ
274.1;Неправомерное воздействие на критическую информационную инфраструктуру Российской Федерации;УК РФ
275;Государственная измена;УК РФ
276;Шпионаж;УК РФ
277;Посягательство на жизнь государственного или общественного деятеля;УК РФ
278;Насильственный захват власти или насильственное удержание власти;УК РФ
279;Вооруженный мятеж;УК РФ
280;Публичные призывы к осуществлению экстремистской деятельности;УК РФ
280.1;Публичные призывы к осуществлению действий, направленных на нарушение территориальной целостности Российской Федерации;УК РФ
281;Диверсия;УК РФ
282;Возбуждение ненависти либо вражды, а равно унижение человеческого достоинства;УК РФ
282.1;Организация экстремистского сообщества;УК РФ
282.2;Организация деятельности экстремистской организации;УК РФ
282.3;Финансирование экстремистской деятельности;УК РФ
283;Разглашение государственной тайны;УК РФ
283.1;Незаконное получение сведений, составляющих государственную тайну;УК РФ
284;Утрата документов, содержащих государственную тайну;УК РФ
284.1;Осуществление деятельности на территории Российской Федерации иностранной или международной неправительственной организации, в отношении которой принято решение о признании нежелательной на территории Российской Федерации ее деятельности;УК РФ
285;Злоупотребление должностными полномочиями;УК РФ
